Petrol_tax;Average_income;Paved_Highways;Population_Driver_licence(%);Petrol_Consumption;New
9;3571;1976;0.525;541;0
9;4092;1250;0.572;524;0
9;3865;1586;0.58;561;0
7.5;4870;2351;0.529;414;0
8;4399;431;0.544;410;0
10;5342;1333;0.571;457;0
8;5319;11868;0.451;344;0
8;5126;2138;0.553;467;0
8;4447;8577;0.529;464;0
7;4512;8507;0.552;498;0
8;4391;5939;0.53;580;0
7.5;5126;14186;0.525;471;0
7;4817;6930;0.574;525;0
7;4207;6580;0.545;508;0
7;4332;8159;0.608;566;0
7;4318;10340;0.586;635;0
7;4206;8508;0.572;603;0
7;3718;4725;0.54;714;0
7;4716;5915;0.724;865;0
8.5;4341;6010;0.677;640;0
7;4593;7834;0.663;649;0
8;4983;602;0.602;540;0
9;4897;2449;0.511;464;0
9;4258;4686;0.517;547;0
8.5;4574;2619;0.551;460;0
9;3721;4746;0.544;566;0
8;3448;5399;0.548;577;0
7.5;3846;9061;0.579;631;0
8;4188;5975;0.563;574;0
9;3601;4650;0.493;534;0
7;3640;6905;0.518;571;0
7;3333;6594;0.513;554;0
8;3063;6524;0.578;577;0
7.5;3357;4121;0.547;628;0
8;3528;3495;0.487;487;0
6.58;3802;7834;0.629;644;0
5;4045;17782;0.566;640;0
7;3897;6385;0.586;704;0
8.5;3635;3274;0.663;648;0
7;4345;3905;0.672;968;0
7;4449;4639;0.626;587;0
7;3656;3985;0.563;699;0
7;4300;3635;0.603;632;0
7;3745;2611;0.508;591;0
6;5215;2302;0.672;782;0
9;4476;3942;0.571;510;0
7;4296;4083;0.623;610;0
7;5002;9794;0.593;524;0
